id,seenAt,src,mac,rssi,adv_hex,manufacturer_hex,lacisId,productType,productCode
170622,2025-12-15T03:02:42.080603Z,ble,7271434738F8,-70,,,30037271434738F80096,003,0096
170623,2025-12-15T03:02:42.127308Z,ble,EBC782DAB90F,-49,,"{76: b'\x12\x02\x00\x01'}",3003EBC782DAB90F0096,003,0096
170624,2025-12-15T03:02:42.148390Z,ble,7C355E6EB16D,-52,,"{76: b'\x16\x08\x00\xa7\xed\x17\x05\x94Z\xa8'}",30037C355E6EB16D0096,003,0096
170625,2025-12-15T03:02:42.212041Z,ble,30A9984ED1EC,-81,"{'0000fdee-0000-1000-8000-00805f9b34fb': b'\x00\x10\x00\x01\xdch\x00\x00\x00\x00\x02ZAAF\x03\x05'}",,300330A9984ED1EC0096,003,0096
170626,2025-12-15T03:02:42.278414Z,ble,5D2F38EC3326,-77,,"{76: b'\x10\x076\x1f\xaf\xd0\x80dx'}",30035D2F38EC33260096,003,0096
170627,2025-12-15T03:02:42.405881Z,ble,FD24A5E89866,-55,,"{76: b'\x12\x02\x10\x00'}",3003FD24A5E898660096,003,0096
170628,2025-12-15T03:02:42.422105Z,ble,E0F7599A3199,-64,,"{76: b'\x12\x02\x00\x00'}",3003E0F7599A31990096,003,0096
170629,2025-12-15T03:02:42.474760Z,ble,4FEA303A8105,-68,,"{76: b'\x10\x05 \x989\xc7\x99'}",30034FEA303A81050096,003,0096
170630,2025-12-15T03:02:42.477275Z,ble,30A9984ED1EC,-85,"{'0000fdee-0000-1000-8000-00805f9b34fb': b'\x00\x10\x00\x01\xdch\x00\x00\x00\x00\x02ZAAF\x03\x05'}",,300330A9984ED1EC0096,003,0096
170631,2025-12-15T03:02:42.694881Z,ble,5D2F38EC3326,-62,,"{76: b'\x10\x076\x1f\xaf\xd0\x80dx'}",30035D2F38EC33260096,003,0096
170632,2025-12-15T03:02:42.697702Z,ble,6CC8408CC97E,-85,,"{21321: b'\x01\x01\x0f\x00\x00\x01\x00\x00\x06\x98\x00\x00\x00\xc0\x05@\x14d'}",30036CC8408CC97E0096,003,0096
170633,2025-12-15T03:02:42.752232Z,ble,4FEA303A8105,-68,,"{76: b'\x10\x05 \x989\xc7\x99'}",30034FEA303A81050096,003,0096
170634,2025-12-15T03:02:42.820940Z,ble,E3108271FEC5,-38,"{'0000fcb2-0000-1000-8000-00805f9b34fb': b'\x01\x01j\x01'}","{76: b""\x07\x11\x06jXe\x19`\x82\xd1Fc\xa3\x19\xb2\xc3'6Y""}",3003E3108271FEC50096,003,0096
170635,2025-12-15T03:02:43.026052Z,ble,4FEA303A8105,-68,,"{76: b'\x10\x05 \x989\xc7\x99'}",30034FEA303A81050096,003,0096
170636,2025-12-15T03:02:43.039420Z,ble,D6AE79AA098C,-85,,"{76: b'\x12\x02\x00\x01'}",3003D6AE79AA098C0096,003,0096
170637,2025-12-15T03:02:43.097223Z,ble,5D2F38EC3326,-71,,"{76: b'\x10\x076\x1f\xaf\xd0\x80dx'}",30035D2F38EC33260096,003,0096
170638,2025-12-15T03:02:43.302267Z,ble,4FEA303A8105,-66,,"{76: b'\x10\x05 \x989\xc7\x99'}",30034FEA303A81050096,003,0096
170639,2025-12-15T03:02:43.570732Z,ble,6C466A357D2C,-85,,"{76: b'\x10\x052\x1c\xdb3='}",30036C466A357D2C0096,003,0096
170640,2025-12-15T03:02:43.576362Z,ble,4FEA303A8105,-63,,"{76: b'\x10\x05 \x989\xc7\x99'}",30034FEA303A81050096,003,0096
170641,2025-12-15T03:02:43.777959Z,ble,6CC8408C67C2,-67,,"{21321: b'\x01\x01\x0f\x00\x00\x01\x00\x00\x06\xaf\x00\x00\x00>\x05\xaa\x15d'}",30036CC8408C67C20096,003,0096
170642,2025-12-15T03:02:43.851115Z,ble,4FEA303A8105,-63,,"{76: b'\x10\x05 \x989\xc7\x99'}",30034FEA303A81050096,003,0096
170643,2025-12-15T03:02:43.908405Z,ble,30A9984ED1EC,-86,"{'0000fdee-0000-1000-8000-00805f9b34fb': b'\x00\x10\x00\x01\xdch\x00\x00\x00\x00\x02ZAAF\x03\x05'}",,300330A9984ED1EC0096,003,0096
170644,2025-12-15T03:02:43.961155Z,ble,EC2385626FEA,-68,,"{76: b'\x12\x02\x00\x01'}",3003EC2385626FEA0096,003,0096
